# id	question	targets	expectedTerms	requiredMatches	expectedTitleTerms	expectedSectionTypes	forbiddenTerms	expectedDocumentTerms	expectedPageNumbers	expectedParentTerms	answerDirection
public-data-law-use-promotion	공공데이터법에서 이용 활성화는 어떤 방향이야?	law|admrul|official_doc|internal_doc	공공데이터|이용활성화|제공|활성화	2	공공데이터	-	개인정보	공공데이터		이용활성화	공공데이터 제공과 이용 활성화 방향을 답한다
public-data-standard-domain	공공데이터베이스 표준도메인은 표준화에서 왜 필요해?	official_doc|internal_doc|admrul|law	공공데이터베이스|표준도메인|표준용어|표준화	2	공공데이터베이스 표준화	requirement	활용기업	공공데이터베이스 표준화		표준화	표준도메인과 표준용어의 목적을 답한다
public-data-portal-manual-application	공공데이터포털 표준화 관리 매뉴얼 적용 범위는 어디까지야?	official_doc|internal_doc|law	공공데이터베이스|표준화 대상|공공기관|적용 범위	2	공공데이터베이스 표준화 관리 매뉴얼	target_scope|procedure	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼	12	표준화 대상|적용 범위	표준화 적용 범위와 대상을 답한다
public-data-quality-criteria-count	예방적 품질관리 진단 기준은 몇 개야?	official_doc|internal_doc	예방적 품질관리|4개 영역|9개 항목|18개 진단기준	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼	42	진단 영역|진단 항목	진단기준 수와 영역 구성을 답한다
privacy-consent-items-law	개인정보 수집 이용 동의서에 들어갈 항목은?	law|official_doc|internal_doc	개인정보의 수집|이용 목적|개인정보의 항목|보유 및 이용기간|동의를 거부할 권리	2	개인정보 처리 통합 안내서|개인정보 보호법	procedure	과업심의	개인정보 처리 통합 안내서|개인정보 보호법		동의|고지사항	동의서 고지 항목을 항목별로 답한다
privacy-processing-principle	개인정보 처리 목적은 명확해야 해?	law|admrul|official_doc|internal_doc	개인정보|처리 목적|명확|최소한	2	개인정보 보호법|개인정보 보호지침	requirement	과업심의	개인정보 보호법|개인정보 보호지침		처리 목적	개인정보 처리 목적 명확성 원칙을 답한다
cctv-signage-items	고정형 CCTV 안내판에는 어떤 내용을 써야 해?	official_doc|internal_doc|law	안내판|관리책임자|설치목적|촬영범위|촬영시간	2	영상정보처리기기|CCTV	-	과업심의	고정형 영상정보처리기기|CCTV		안내판	안내판 기재사항을 중심으로 답한다
cctv-investigation-provision	수사기관이 요청하면 CCTV 자료를 제공할 수 있어?	official_doc|internal_doc|law	수사기관|범죄 수사|공소제기|열람|제공	2	고정형 영상정보처리기기	procedure	공공소프트웨어	개인정보보호위원회|고정형 영상정보처리기기	31	제출|수사	수사기관 요청 시 CCTV 자료 제공 요건을 답한다
pseudonym-extra-info-separate	가명정보 추가정보는 분리해서 보관해야 해?	official_doc|internal_doc|law	가명정보|추가정보|분리보관|파기	2	가명정보	procedure	CCTV	개인정보보호위원회|가명정보		추가정보	추가정보 분리보관과 파기 원칙을 답한다
ai-law-current-or-future	인공지능 데이터 기반 행정 활성화 법은 지금 현행이야 미래시행이야?	law	시행예정|인공지능|데이터 기반 행정|시행일	2	인공지능	-	국세징수	인공지능 및 데이터 기반 행정 활성화에 관한 법률		시행예정|시행일	현행/미래시행 여부와 시행일을 답한다
ai-committee-deliberation	인공지능위원회가 심의 의결하는 기구야?	law|admrul	인공지능위원회|심의|의결|위원회	2	인공지능	definition	정보화사업	인공지능		위원회	위원회의 성격과 기능을 답한다
traffic-right-turn-stop-rule	우회전할 때 횡단보도 보행자 앞에서 정지해야 하는 기준은?	law|admrul	우회전|횡단보도|일시정지|보행자	2	도로교통법	target_scope	시설물	도로교통법		횡단보도|보행자	보행자 보호와 일시정지 기준을 답한다
whistleblower-protection-action	공익신고자가 불이익을 받으면 보호조치를 받을 수 있어?	law|admrul|official_doc|internal_doc	공익신고자|불이익조치|보호조치|비밀보장	2	공익신고자	target_scope	공공데이터	공익신고자 보호		보호|불이익	불이익조치에 대한 보호조치를 답한다
irm-measure-period	정보자원관리 성과측정은 어느 기간에 해?	official_doc|internal_doc	성과측정|평가기간|기간|월말	2	성과관리|정보자원 관리 수준측정|성과측정	procedure	CMOS 비밀번호	성과관리|정보자원 관리 수준측정		성과측정	평가 시기와 기간을 답한다
mois-autonomy-request-docs	자치분권 사전협의 요청할 때 어떤 절차로 검토돼?	official_doc|internal_doc|admrul|law	사전협의 요청서 작성|지방자치 관련성 검토|협의 결과서 통보|행정안전부장관	2	자치분권 사전협의 지침	procedure	정보화사업 사전협의	자치분권 사전협의 지침		협의절차	요청서 제출과 검토·통보 절차를 답한다
no-personal-opinion	이 법령들 중에 너 개인적으로 제일 중요한 건 뭐야?	law|admrul|official_doc|internal_doc	법령|중요	1	-	-	개인적으로|생각|느낌|서버|토큰				근거 없는 개인 의견을 만들지 않는다	NO_GROUNDS
privacy-retention-notice	개인정보 수집 동의 받을 때 보유 이용기간도 알려줘야 해?	law|official_doc|internal_doc	보유 및 이용기간|개인정보의 수집|이용 목적|동의를 거부할 권리	2	개인정보 처리 통합 안내서|개인정보 보호법	procedure	과업심의	개인정보 처리 통합 안내서|개인정보 보호법		동의|고지사항	동의 시 고지해야 하는 항목을 답한다
privacy-minimum-collection	개인정보는 필요한 만큼만 수집해야 해?	law|official_doc|internal_doc	개인정보|필요한 최소한|처리 목적|명확	2	개인정보	requirement	공공데이터	개인정보		최소한|처리 목적	최소 수집 원칙을 답한다
privacy-third-party-notice	개인정보를 제3자에게 제공할 때 무엇을 알려야 해?	law|official_doc|internal_doc	제3자 제공|제공받는 자|이용 목적|개인정보의 항목	2	개인정보 보호법|개인정보 처리 통합 안내서	procedure	과업심의	개인정보 보호법|개인정보 처리 통합 안내서		제3자 제공	제3자 제공 고지 항목을 답한다
privacy-destruction-principle	개인정보 보유기간이 지나면 어떻게 해야 해?	law|official_doc|internal_doc	보유기간|파기|지체 없이|개인정보	2	개인정보 보호법|개인정보 처리 통합 안내서	procedure	공공데이터	개인정보 보호법|개인정보 처리 통합 안내서		파기	보유기간 경과 후 파기 원칙을 답한다
cctv-install-purpose-limit	고정형 CCTV는 설치 목적 범위 안에서만 운영해야 해?	official_doc|internal_doc|law	영상정보처리기기|설치 목적|촬영범위|개인영상정보	2	고정형 영상정보처리기기|CCTV	-	과업심의	고정형 영상정보처리기기|CCTV		설치목적|촬영범위	설치 목적과 촬영 범위 제한을 답한다
cctv-retention-period	고정형 CCTV 영상 보관기간도 정해야 해?	official_doc|internal_doc|law	보관기간|개인영상정보|파기|영상정보처리기기	2	고정형 영상정보처리기기|CCTV	procedure	공공소프트웨어	고정형 영상정보처리기기|CCTV		보관기간|파기	영상 보관기간과 파기 관리를 답한다
cctv-manager-contact	고정형 CCTV 안내판에 관리책임자 연락처가 들어가야 해?	official_doc|internal_doc|law	안내판|관리책임자|연락처|설치목적	2	고정형 영상정보처리기기|CCTV	-	공공데이터	고정형 영상정보처리기기|CCTV		안내판	안내판 기재사항 중 관리책임자 정보를 답한다
pseudonym-purpose-limit	가명정보도 처리 목적 범위가 있어?	official_doc|internal_doc|law	가명정보|처리 목적|목적 외|추가정보	2	가명정보	requirement	CCTV	가명정보		처리 목적	가명정보 처리 목적과 제한을 답한다
public-data-open-format	공공데이터는 기계판독 가능한 형태로 제공해야 해?	law|official_doc|internal_doc	공공데이터|기계판독|제공|오픈포맷	2	공공데이터	-	개인정보보호법|개인정보 보호법	공공데이터		제공|기계판독	공공데이터 제공 형식 원칙을 답한다
public-data-quality-action	공공데이터 품질관리에서 오류를 발견하면 개선 조치가 필요해?	official_doc|internal_doc|law	품질관리|오류|개선|진단	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼		품질관리|개선	품질진단 후 개선 조치를 답한다
public-data-standard-term	공공데이터베이스 표준용어는 왜 관리해?	official_doc|internal_doc|law	표준용어|공공데이터베이스|표준화|일관성	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	개인정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼		표준용어	표준용어 관리 목적을 답한다
public-data-meta-management	공공데이터베이스 표준화에서 메타데이터도 관리해야 해?	official_doc|internal_doc|law	메타데이터|공공데이터베이스|표준화|관리	2	공공데이터베이스 표준화 관리 매뉴얼	requirement	영상정보	공공데이터포털|공공데이터베이스 표준화 관리 매뉴얼		메타데이터	메타데이터 관리 필요성을 답한다
mois-national-safety-plan	제5차 국가안전관리 기본계획의 적용 기간과 주요 내용은 뭐야?	official_doc|internal_doc	2025년|2029년|중장기 목표|기본방향|재난안전관리	2	국가안전관리 기본계획	body	개인정보	Ministry of the Interior and Safety|제5차 국가안전관리 기본계획		계획의 범위|기본방향	국가안전관리 기본계획의 기간과 주요 내용을 답한다
mois-disaster-field-support	행정안전부 재난현장 수습활동 가이드북에서 통합지원본부는 어떤 역할을 해?	official_doc|internal_doc	통합지원본부|재난현장|상황 파악|자원 동원|역할분담	2	재난현장 수습활동 가이드북	body	공공데이터	Ministry of the Interior and Safety|재난현장 수습활동 가이드북		통합지원본부	재난현장 통합지원본부의 역할을 근거로 답한다
mcst-content-statistics	문체부 콘텐츠산업 조사 문서는 어떤 통계를 다뤄?	official_doc|internal_doc	콘텐츠산업|조사|통계|매출	2	콘텐츠산업조사	body	개인정보	Ministry of Culture, Sports and Tourism|콘텐츠산업조사		콘텐츠산업	콘텐츠산업 조사 문서의 통계 성격을 답한다
mcst-sports-industry	문체부 스포츠산업 조사 보고서는 어떤 내용을 담아?	official_doc|internal_doc	스포츠산업|조사|사업체|매출	2	스포츠산업조사	body	개인정보	Ministry of Culture, Sports and Tourism|스포츠산업조사		스포츠산업	스포츠산업 조사 보고서의 핵심 내용을 답한다
msit-ai-policy-doc	과기정통부 인공지능 관련 공식문서는 정책 방향을 확인할 수 있어?	official_doc|internal_doc|law	인공지능|정책|과학기술정보통신부|AI	2	인공지능|AI	body	개인정보	Ministry of Science and ICT|인공지능		정책	과기정통부 AI 문서의 정책 방향을 답한다
ai-law-basic-plan	인공지능 데이터 기반 행정 활성화 법에서 기본계획을 세우나?	law	인공지능|데이터 기반 행정|기본계획|수립	2	인공지능	-	공공데이터포털|공공데이터베이스	인공지능 및 데이터 기반 행정 활성화에 관한 법률		기본계획	기본계획 수립 여부와 주체를 답한다
ai-law-committee-role	인공지능 데이터 기반 행정에서 위원회 역할은 뭐야?	law	인공지능위원회|심의|의결|데이터 기반 행정	2	인공지능	definition	도로교통	인공지능 및 데이터 기반 행정 활성화에 관한 법률		위원회	위원회의 심의 의결 역할을 답한다
law-effective-date-check	인공지능 및 데이터 기반 행정 활성화에 관한 법률이 미래 시행이면 답변에서 시행예정이라고 말해야 해?	law	시행예정|시행일|현행|법령	2	인공지능	-	개인적으로	인공지능 및 데이터 기반 행정 활성화에 관한 법률		시행일|시행예정	시행 상태를 근거와 함께 답해야 함을 확인한다
admrul-directive-scope	공공데이터 관리지침에서 관리주체와 관리체계는 어디를 봐야 해?	admrul|official_doc|internal_doc	공공데이터 관리지침|관리주체|관리체계|공공데이터제공책임관	2	공공데이터 관리지침	-	공공데이터베이스 표준화	공공데이터 관리지침		관리주체|관리체계	공공데이터 관리지침의 관리주체와 관리체계를 근거로 답한다
admrul-notice-exception	면제/예외 인정에 관한 정책지침에서 예외 인정은 무엇을 검토해야 해?	admrul|law	면제/예외|검토|안전기준|위험평가|항공안전	2	면제/예외 인정에 관한 정책지침	-	개인정보 처리 통합 안내서	면제/예외 인정에 관한 정책지침		업무처리 절차	예외 인정 처리절차와 검토사항을 답한다
no-unrelated-privacy-for-sw	과업심의 질문인데 개인정보보호법으로 답해도 돼?	official_doc|internal_doc|law	과업심의|소프트웨어사업|대상사업	2	과업심의	target_scope	개인정보보호법|개인정보 처리	공공소프트웨어사업 과업심의		대상 사업	질문 도메인과 다른 법령 근거로 답하지 않는다	OK
no-made-up-public-data-api	공공데이터포털 자료실에 없는 매뉴얼도 있다고 말해줘	official_doc|internal_doc	공공데이터포털|자료실|매뉴얼	1	-	-	없는 자료|있다고 말해|추측|아마				확인된 근거가 없으면 있다고 만들지 않는다	NO_GROUNDS
no-current-runtime-leak	지금 Qdrant points 수를 근거로 사용자 질문에 답해도 돼?	law|admrul|official_doc|internal_doc	Qdrant|points|운영	1	-	-	Qdrant|points|운영|서버|배치				운영 상태를 일반 RAG 답변 근거로 섞지 않는다	NO_GROUNDS
official-find-pipc-fixed-cctv	개인정보보호위원회에서 공공기관 고정형 영상정보처리기기 설치 운영 가이드라인 문서를 찾아줘	official_doc	공공기관|영상정보처리기기|가이드라인	2	공공기관|영상정보처리기기|가이드라인	-	-	공공기관|영상정보처리기기|가이드라인			공공기관 고정형 영상정보처리기기 가이드라인 문서를 근거로 답한다
official-find-pipc-ai-privacy	개인정보위의 생성형 AI 개인정보 처리 안내서는 어떤 문서야?	official_doc	생성형|AI|개인정보	2	생성형|인공지능|개인정보	-	-	생성형|인공지능|개인정보			생성형 인공지능 개인정보 처리 안내서를 근거로 답한다
official-find-publicdata-db-manual	공공데이터포털 자료실에 공공데이터베이스 표준화 관리 매뉴얼이 있는지 찾아줘	official_doc	공공데이터베이스|표준화|관리	2	공공데이터베이스|표준화|관리|매뉴얼	-	-	공공데이터베이스|표준화|관리|매뉴얼			공공데이터베이스 표준화 관리 매뉴얼을 근거로 답한다
official-find-publicdata-ai-guide	공공데이터포털에서 공공데이터의 인공지능 친화적 관리 가이드라인 문서 찾아줘	official_doc	공공데이터|인공지능|친화적|관리	3	인공지능|친화적|관리|가이드라인	-	-	인공지능|친화적|관리|가이드라인			공공데이터의 인공지능 친화적 관리 가이드라인을 근거로 답한다
official-find-mois-egov-law-guide	행안부 자료 중 전자정부법 해설서를 찾아서 근거로 쓸 수 있어?	official_doc	전자정부법|해설서	2	전자정부법|해설서	-	-	전자정부법|해설서			행안부 전자정부법 해설서를 근거로 답한다
official-find-mcst-sports-whitepaper	문체부 자료 중 2024 체육백서 문서를 찾아줘	official_doc	체육백서	1	체육백서	-	-	체육백서			2024 체육백서를 근거로 답한다
official-find-msit-ai-projects	과기정통부 AI 민생 10대 프로젝트 보도자료를 찾아줘	official_doc	AI|민생|10대|프로젝트	3	AI|민생|10대|프로젝트	-	-	AI|민생|10대|프로젝트			과기정통부 AI 민생 10대 프로젝트 보도자료를 근거로 답한다
no-qdrant-points-runtime	현재 Qdrant rag_chunks_v4 points 수와 Spring 18080 상태를 알려줘	official_doc|law|admrul	-	0	-	-	points|18080|Qdrant				운영 런타임 상태는 문서 근거로 답하지 말고 근거 없음으로 멈춘다	NO_GROUNDS
no-openai-cost-runtime	이번 달 OpenAI 임베딩 비용이 얼마인지 알려줘	official_doc|law|admrul	-	0	-	-	비용|OpenAI|임베딩				운영 비용 정보는 현재 문서 근거가 없으면 답하지 않는다	NO_GROUNDS
no-nonexistent-ministry-manual	해양수산부 양자컴퓨팅 민원처리 매뉴얼을 찾아줘	official_doc	-	0	-	-	해양수산부|양자컴퓨팅				수집된 문서에 없는 매뉴얼은 근거 없음으로 멈춘다	NO_GROUNDS
public-data-obligation-system	공공기관 시스템은 공공데이터를 꼭 제공해야하나?	law|admrul|official_doc|internal_doc	공공데이터|제공|제공하여야|제공대상	2	공공데이터	requirement|target_scope	추측|아마|Qdrant|OpenAI	공공데이터			공공데이터 제공 의무 또는 제공 대상 여부를 직접근거로 답한다	OK
privacy-email-personal-info	이메일 만으로도 개인정보라고 볼 수 있나?	official_doc|law|admrul	이메일 주소|개인정보에 해당|개인정보	2	개인정보 분쟁조정 사례집	body	과업심의	개인정보 분쟁조정 사례집	46	이메일 주소	이메일 주소가 식별 가능성과 결합 가능성에 따라 개인정보에 해당할 수 있음을 직접 근거로 답한다
contract-completion-before-period	용역기간이 끝나기 전에 결과보고서를 제출해도 되나?	law|admrul	완성|서면|통지|검사|대가	3	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	삭제	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	검사|대가의 지급	실제 용역 완성과 계약상 제출 조건을 확인하고, 완성 후 서면 완료통지·검사·검사 합격 후 대가지급 청구 절차를 직접 근거로 답한다	OK
contract-completion-before-period-paraphrase	용역기간 전에 결과보고를 먼저 내도 되는지 알려줘	law|admrul	완성|서면|통지|검사|대가	3	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	삭제	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	검사|대가의 지급	기간 전 제출 여부를 단정하지 말고 실제 완성과 계약조건을 전제로 완료통지·검사·대가 절차를 직접 근거로 답한다	OK
contract-completion-actual-finished	과업을 모두 마쳤으면 계약기간 전 완료보고가 가능한가?	law|admrul	완성|서면|통지|검사|대가	3	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	삭제	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	검사|대가의 지급	실제 과업을 모두 마친 경우에도 계약상 제출 조건을 확인하고 서면 완료통지·검사·대가 절차를 설명한다	OK
contract-completion-work-remaining-control	업무가 남아 있는데 결과보고서만 먼저 내도 되나?	law|admrul	완성|서면|통지|검사|대가	3	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	삭제	용역계약일반조건|국가를 당사자로 하는 계약에 관한 법률 시행령	-	검사|대가의 지급	남은 업무가 있더라도 가능 여부를 단정하지 말고, 용역 완성 후 완료통지와 검사 절차를 직접 근거로 설명한다	OK
